Code,Name,Path,Level
45602,مجتمع شوراهاي حل اختلاف امام خميني (ره) شهرستان تبريز,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان تبريز > شوراي حل اختلاف شهرستان تبريز > مجتمع شوراهاي حل اختلاف امام خميني (ره) شهرستان تبريز,4
45618,مجتمع شوراهاي حل اختلاف خانواده شهرستان تبريز,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان تبريز > شوراي حل اختلاف شهرستان تبريز > مجتمع شوراهاي حل اختلاف خانواده شهرستان تبريز,4
45610,مجتمع شوراي حل اختلاف ايثارگران شهرستان تبريز,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان تبريز > شوراي حل اختلاف شهرستان تبريز > مجتمع شوراي حل اختلاف ايثارگران شهرستان تبريز,4
45922,مجتمع شوراي حل اختلاف حضرت وليعصر(عج) شهرستان تبريز,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان تبريز > شوراي حل اختلاف شهرستان تبريز > مجتمع شوراي حل اختلاف حضرت وليعصر(عج) شهرستان تبريز,4
45601,مجتمع شوراي حل اختلاف شهيد بهشتي شهرستان تبريز,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان تبريز > شوراي حل اختلاف شهرستان تبريز > مجتمع شوراي حل اختلاف شهيد بهشتي شهرستان تبريز,4
64063,مجتمع شوراي حل اختلاف شهيد قدوسي شهرستان تبريز,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان تبريز > شوراي حل اختلاف شهرستان تبريز > مجتمع شوراي حل اختلاف شهيد قدوسي شهرستان تبريز,4
45619,مجتمع شوراي حل اختلاف شهيد مدني شهرستان تبريز,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان تبريز > شوراي حل اختلاف شهرستان تبريز > مجتمع شوراي حل اختلاف شهيد مدني شهرستان تبريز,4
45606,مجتمع قضايي شهيد قاضي طباطبائي شهرستان تبريز(شعب شوراي حل اختلاف),دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان تبريز > شوراي حل اختلاف شهرستان تبريز > مجتمع قضايي شهيد قاضي طباطبائي شهرستان تبريز(شعب شوراي حل اختلاف),4
41585,حوزه قضايي شهرستان تركمنچاي,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان تركمنچاي,2
41586,دادگاه عمومي و انقلاب شهرستان تركمنچاي,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان تركمنچاي > دادگاه عمومي و انقلاب شهرستان تركمنچاي,3
65390,شوراي حل اختلاف تركمنچاي,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان تركمنچاي > شوراي حل اختلاف تركمنچاي,3
00094,حوزه قضايي شهرستان جلفا,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان جلفا,2
42950,دادسراي عمومي و انقلاب شهرستان جلفا,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان جلفا > دادسراي عمومي و انقلاب شهرستان جلفا,3
00358,دادگاه عمومي و انقلاب شهرستان جلفا,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان جلفا > دادگاه عمومي و انقلاب شهرستان جلفا,3
